Temperature,Conductivity,Cp,Prandtl,Density,Viscosity,,Temperature,Conductivity,Cp,hfg,Prandtl,Viscosity,Vap. Sp. Vol.,Liq. Sp. Vol.
[K],[W/m·K],[kJ/kg·K],Number,[kg/m3],[N·s/m2],,[K],[W/m·K],[kJ/kg·K],[kJ/kg],Number,[N·s/m2],[m3/kg],[m3/kg]
200,0.0181,1.007,0.737,1.7458,0.00001325,,273.15,0.569,4.217,2502,12.99,0.00175,206.3,0.001
250,0.0223,1.006,0.72,1.3947,0.00001596,,275,0.574,4.211,2497,12.22,0.00165,181.7,0.001
300,0.0263,1.007,0.707,1.1614,0.00001846,,280,0.582,4.198,2485,10.26,0.00142,130.4,0.001
350,0.03,1.009,0.7,0.995,0.00002082,,285,0.59,4.189,2473,8.81,0.00123,99.4,0.001
400,0.0338,1.014,0.69,0.8711,0.00002301,,290,0.598,4.184,2461,7.56,0.00108,69.7,0.001001
450,0.0373,1.021,0.686,0.774,0.00002507,,295,0.606,4.181,2449,6.62,0.00096,51.94,0.001002
500,0.0407,1.03,0.684,0.6964,0.00002701,,300,0.613,4.179,2438,5.83,0.00086,39.13,0.001003
550,0.0439,1.04,0.683,0.6329,0.00002884,,305,0.62,4.178,2426,5.2,0.00077,29.74,0.001005
600,0.0469,1.051,0.685,0.5804,0.00003058,,310,0.628,4.178,2414,4.62,0.0007,22.93,0.001007
650,0.0497,1.063,0.69,0.5356,0.00003225,,315,0.634,4.179,2402,4.16,0.00063,17.82,0.001009
700,0.0524,1.075,0.695,0.4975,0.00003388,,320,0.64,4.18,2390,3.77,0.00058,13.98,0.001011
750,0.0549,1.087,0.702,0.4643,0.00003546,,325,0.645,4.182,2378,3.42,0.00053,11.06,0.001013
800,0.0573,1.099,0.709,0.4354,0.00003698,,330,0.65,4.184,2366,3.15,0.00049,8.82,0.001016
850,0.0596,1.11,0.716,0.4097,0.00003843,,335,0.656,4.186,2354,2.88,0.00045,7.09,0.001018
900,0.062,1.121,0.72,0.3868,0.00003981,,340,0.66,4.188,2342,2.66,0.00042,5.74,0.001021
950,0.0643,1.131,0.723,0.3666,0.00004113,,345,0.668,4.191,2329,2.45,0.00039,4.683,0.001024
1000,0.0667,1.141,0.726,0.3482,0.00004244,,350,0.668,4.195,2317,2.29,0.00037,3.846,0.001027
,,,,,,,355,0.671,4.199,2304,2.14,0.00034,3.18,0.00103
,,,,,,,360,0.674,4.203,2291,2.02,0.00032,2.645,0.001034
,,,,,,,365,0.677,4.209,2278,1.91,0.00031,2.212,0.001038
,,,,,,,370,0.679,4.214,2265,1.8,0.00029,1.861,0.001041
,,,,,,,373.15,0.68,4.217,2257,1.76,0.00028,1.679,0.001044
,,,,,,,375,0.681,4.22,2252,1.7,0.00027,1.574,0.001045
,,,,,,,380,0.683,4.226,2239,1.61,0.00026,1.337,0.001049
,,,,,,,385,0.685,4.232,2225,1.53,0.00025,1.142,0.001053
,,,,,,,390,0.686,4.239,2212,1.47,0.00024,0.98,0.001058
,,,,,,,400,0.688,4.256,2183,1.34,0.00022,0.731,0.001067
,,,,,,,410,0.688,4.278,2153,1.24,0.0002,0.553,0.001077
,,,,,,,420,0.688,4.302,2123,1.16,0.00019,0.425,0.001088
,,,,,,,430,0.685,4.331,2091,1.09,0.00017,0.331,0.001099
,,,,,,,440,0.682,4.36,2059,1.04,0.00016,0.261,0.00111
,,,,,,,450,0.678,4.4,2024,0.99,0.00015,0.208,0.001123
,,,,,,,460,0.673,4.44,1989,0.95,0.00014,0.167,0.001137
,,,,,,,470,0.667,4.48,1951,0.92,0.00014,0.136,0.001152
,,,,,,,480,0.66,4.53,1912,0.89,0.00013,0.111,0.001167
,,,,,,,490,0.651,4.59,1870,0.87,0.00012,0.0922,0.001184
,,,,,,,500,0.642,4.66,1825,0.86,0.00012,0.0766,0.001203
